id,type,name,description,price,picture,localId
1b1e3bd1-8b5f-4039-b51f-eb5d08e042b5,DRINK,Juice,Throw threat still next.,97.55,https://picsum.photos/539/685,0db8fde5-c70d-4b8a-bc84-d03eaad4f51d
932aec5d-2a99-4cc3-9c16-fe3ab52996c7,DRINK,Water,Decade conference whom best feeling.,70.13,https://placekitten.com/909/952,d4f75189-688e-41e5-b436-1b3cce26d9cf
5f472349-ed61-4fbd-a1d1-90b2a72dba5c,DRINK,Pepsi,Many radio strategy cup for.,14.89,https://placekitten.com/854/773,885f47ba-d789-45d7-990a-7bafffe651ec
96fe7208-0773-43f8-b4d3-618c4b927b73,FOOD,Soup,Reveal attention edge tax.,4.85,https://picsum.photos/885/879,31760e34-137e-4af6-bf58-a20b92a1c667
57fd63b3-1ed1-4225-8f55-7ceab6ba929c,DRINK,Beer,Tree across defense happen even floor none.,46.43,https://picsum.photos/932/905,50308935-525c-482d-b188-9ba4d37a36ce
51a1caf1-5faf-447b-bb6c-59fae419109a,FOOD,Burger,Head tell meeting sell man.,63.91,https://placekitten.com/584/671,42d22d7e-35e9-4070-b54a-548b61cc7ad5
1510957f-5a86-48d6-8af0-f7fd056fccd8,FOOD,Sandwich,Serious safe education.,48.71,https://picsum.photos/371/370,92a14844-2321-452b-ad50-dbdefcd32be6
48c3edeb-6d78-4ff2-a69b-e18e519fcdb3,FOOD,Soup,Can seven concern pressure be know.,55.33,https://placekitten.com/182/786,e605a647-f40a-4544-be9f-d78498758577
98ccebb5-e0d0-4844-8d6b-d3335926ede9,DRINK,Milkshake,Accept work thank wide responsibility far.,62.53,https://picsum.photos/525/87,97d29b50-5e3a-4a79-9d0d-b5c060c02a64
966bac7f-d280-4b79-acd2-ffbcd194aebf,DRINK,Coke,Specific sign likely wrong.,18.83,https://dummyimage.com/12x17,5ecefacc-58fb-4bcd-aae6-a299dfc023d6
19d39a1a-d9a7-4ebe-90b9-5d360f7141ef,DRINK,Pepsi,Energy no that make measure money.,14.7,https://placekitten.com/350/387,5b198068-b93c-4fbd-a778-8aec816ca95b
07ebd488-3b89-410e-af32-4d9dde5fd5ef,FOOD,Soup,Both month American music someone.,72.69,https://dummyimage.com/781x849,54258ba6-e8f9-4f26-8093-5194539dad45
828a767b-d869-402b-8f87-2b825a9e9b73,DRINK,Smoothie,Charge though husband easy course data.,71.47,https://dummyimage.com/23x544,e9dc294e-6d5e-42f5-a937-899ece588986
ea593ee3-7229-4f3d-b6f4-7ad62f770644,FOOD,Burger,Rise situation reveal walk send use.,53.52,https://dummyimage.com/62x121,6f63781c-c230-44e8-bc49-557376b6b0ef
61c106cc-7a85-406c-8f0c-a154bec9a39e,FOOD,Taco,Official ask fund staff beat.,37.23,https://placekitten.com/447/420,e4167581-1052-422c-be74-b451ecaec466
01501389-7923-499c-a9e8-f1bf188e51df,FOOD,Steak,Beat first reality.,75.69,https://dummyimage.com/48x803,f9379d03-c8df-4b7a-83d6-66c072345c5c
5de1d463-629a-45fb-8a1c-f790c00925e2,FOOD,Taco,Free cost growth blood author.,24.6,https://picsum.photos/995/695,61ee8a93-574b-49eb-8a0c-f10d9f3fd697
4d4c8100-7d4d-428b-ba29-97dddf67f081,FOOD,Steak,Claim design former old step second movie increase.,31.89,https://dummyimage.com/475x320,128edd80-1b7e-42ad-8715-7a61f8c2f8c0
10aabf7f-8623-4c8b-a6ab-fb0f4a772f99,DRINK,Beer,President charge region off.,48.15,https://dummyimage.com/441x807,7485fd5f-b0da-4bdd-83a3-31dac917d818
9d67917e-0298-4c3d-a5b0-d09a850c7181,DRINK,Tea,Sign police high east address choice.,66.1,https://placekitten.com/848/904,55a124db-46c1-45c7-ad37-a8c48f9d9b8c
76a70a48-5fa6-4167-bfdc-638a6a70d6df,FOOD,Steak,Tax marriage modern military any man.,51.24,https://placekitten.com/859/802,84c303e1-0a79-401d-9ed2-43ca89ad6359
d26da739-a156-4087-b412-30081597fc08,FOOD,Sushi,Put enjoy final drug out on however.,22.53,https://dummyimage.com/271x960,059cd571-ba4e-4df9-936c-13b5ec9418f4
4661415e-d071-4304-9ea7-f4c9a11fb823,FOOD,Steak,Pick loss house late kid professional.,21.8,https://dummyimage.com/886x855,20bdfd71-1315-4f93-a4a1-aa2f5dffdc98
aa6ec115-3124-42ed-bf54-d218f43bbec1,DRINK,Milkshake,Head its price share political couple nature.,79.16,https://dummyimage.com/498x277,5cf5c6a6-9f52-4134-bce5-0fe136678668
6a870b45-ff3b-45d9-b93c-9476e97149ef,DRINK,Tea,Have task plant student finish become save century.,16.8,https://placekitten.com/79/916,7f65616e-5afb-42f1-b3ea-bf4511548539
